DBCODE,ENTITY,STANDID,SPECIES,YEAR_AGG,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA,NO_PLOTS
TP001,6,AB08,ALL,1990,LIVE,441,77.319,1318.259,536.987,547.377,16
TP001,6,AB08,ALL,1990,MORTALITY,7,0.924,12.895,5.12,5.639,16
TP001,6,AB08,TABR,1995,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,TABR,1995,LIVE,4,0.016,0.082,0.049,0.041,16
TP001,6,AB08,TABR,1995,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,ABAM,1995,INGROWTH,10,0.065,0.403,0.168,0.208,16
TP001,6,AB08,ABAM,1995,LIVE,70,0.738,5.98,2.494,2.929,16
TP001,6,AB08,ABAM,1995,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,PSME,1995,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,PSME,1995,LIVE,17,9.404,190.796,85.667,94.843,16
TP001,6,AB08,PSME,1995,MORTALITY,1,0.491,9.424,4.232,4.672,16
TP001,6,AB08,CHNO,1995,INGROWTH,4,0.015,0.064,0.026,0.042,16
TP001,6,AB08,CHNO,1995,LIVE,7,0.434,5.606,2.282,2.007,16
TP001,6,AB08,CHNO,1995,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,THPL,1995,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,THPL,1995,LIVE,72,20.242,215.048,67.31,101.86,16
TP001,6,AB08,THPL,1995,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,TSHE,1995,INGROWTH,8,0.067,0.506,0.213,0.233,16
TP001,6,AB08,TSHE,1995,LIVE,285,45.728,880.898,369.977,337.917,16
TP001,6,AB08,TSHE,1995,MORTALITY,5,2.131,45.598,19.151,17.187,16
TP001,6,AB08,ALL,1995,INGROWTH,22,0.146,0.973,0.407,0.483,16
TP001,6,AB08,ALL,1995,LIVE,453,76.563,1298.41,527.779,539.597,16
TP001,6,AB08,ALL,1995,MORTALITY,7,2.622,55.022,23.383,21.859,16
TP001,6,AB08,TABR,2002,INGROWTH,4,0.01,0.044,0.027,0.023,16
TP001,6,AB08,TABR,2002,LIVE,8,0.031,0.16,0.096,0.079,16
TP001,6,AB08,TABR,2002,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,ABAM,2002,INGROWTH,21,0.076,0.388,0.162,0.208,16
TP001,6,AB08,ABAM,2002,LIVE,91,0.922,7.295,3.042,3.589,16
TP001,6,AB08,ABAM,2002,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,PSME,2002,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,PSME,2002,LIVE,17,9.665,197.24,88.561,98.072,16
TP001,6,AB08,PSME,2002,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,CHNO,2002,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,CHNO,2002,LIVE,7,0.453,5.799,2.36,2.085,16
TP001,6,AB08,CHNO,2002,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,THPL,2002,INGROWTH,1,0.024,0.097,0.03,0.083,16
TP001,6,AB08,THPL,2002,LIVE,69,20.801,223.425,69.932,105.235,16
TP001,6,AB08,THPL,2002,MORTALITY,1,0.15,1.184,0.371,0.665,16
TP001,6,AB08,TSHE,2002,INGROWTH,21,0.072,0.394,0.166,0.193,16
TP001,6,AB08,TSHE,2002,LIVE,286,46.23,897.809,377.08,343.878,16
TP001,6,AB08,TSHE,2002,MORTALITY,15,0.85,14.92,6.266,5.817,16
TP001,6,AB08,ALL,2002,INGROWTH,47,0.181,0.924,0.384,0.507,16
TP001,6,AB08,ALL,2002,LIVE,477,78.103,1331.729,541.071,552.938,16
TP001,6,AB08,ALL,2002,MORTALITY,16,1,16.104,6.637,6.482,16
TP001,6,AB08,TABR,2008,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,TABR,2008,LIVE,8,0.038,0.213,0.128,0.105,16
TP001,6,AB08,TABR,2008,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,ABAM,2008,INGROWTH,13,0.063,0.359,0.15,0.188,16
TP001,6,AB08,ABAM,2008,LIVE,100,1.052,8.321,3.47,4.093,16
TP001,6,AB08,ABAM,2008,MORTALITY,5,0.071,0.567,0.237,0.279,16
TP001,6,AB08,PSME,2008,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,PSME,2008,LIVE,14,7.788,159.18,71.472,79.155,16
TP001,6,AB08,PSME,2008,MORTALITY,4,2.06,42.522,19.092,21.15,16
TP001,6,AB08,CHNO,2008,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,CHNO,2008,LIVE,7,0.485,6.156,2.505,2.22,16
TP001,6,AB08,CHNO,2008,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,THPL,2008,INGROWTH,7,0.057,0.195,0.061,0.186,16
TP001,6,AB08,THPL,2008,LIVE,70,20.915,226.335,70.843,106.181,16
TP001,6,AB08,THPL,2008,MORTALITY,2,0.424,3.768,1.179,1.972,16
TP001,6,AB08,TSHE,2008,INGROWTH,11,0.076,0.561,0.236,0.26,16
TP001,6,AB08,TSHE,2008,LIVE,286,45.961,897.232,376.838,343.288,16
TP001,6,AB08,TSHE,2008,MORTALITY,11,1.526,28.647,12.032,11.04,16
TP001,6,AB08,ALL,2008,INGROWTH,30,0.196,1.116,0.447,0.634,16
TP001,6,AB08,ALL,2008,LIVE,482,76.239,1297.436,525.255,535.042,16
TP001,6,AB08,ALL,2008,MORTALITY,22,4.08,75.504,32.54,34.442,16
TP001,6,ABCO,ABMA,1983,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,ABMA,1983,LIVE,28,5.916,97.564,38.928,49.263,14
TP001,6,ABCO,ABMA,1983,MORTALITY,0,0,0,0,0,14
TP001,6,ABCO,ABCO,1983,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,ABCO,1983,LIVE,469,43.237,753.408,315.678,341.339,14
TP001,6,ABCO,ABCO,1983,MORTALITY,0,0,0,0,0,14
TP001,6,ABCO,PILA,1983,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,PILA,1983,LIVE,66,12.739,226.41,89.658,90.259,14
TP001,6,ABCO,PILA,1983,MORTALITY,0,0,0,0,0,14
TP001,6,ABCO,CADE3,1983,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,CADE3,1983,LIVE,221,11.834,152.932,45.421,59.512,14
TP001,6,ABCO,CADE3,1983,MORTALITY,0,0,0,0,0,14
TP001,6,ABCO,ALL,1983,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,ALL,1983,LIVE,782,73.727,1230.314,489.685,540.373,14
TP001,6,ABCO,ALL,1983,MORTALITY,0,0,0,0,0,14
TP001,6,ABCO,ABCO,1988,INGROWTH,12,0.002,0.001,0.001,0.002,14
TP001,6,ABCO,ABCO,1988,LIVE,461,45.898,813.741,340.957,366.445,14
TP001,6,ABCO,ABCO,1988,MORTALITY,20,0.518,5.811,2.435,3.105,14
TP001,6,ABCO,CADE3,1988,INGROWTH,6,0.001,0,0,0.001,14
TP001,6,ABCO,CADE3,1988,LIVE,208,12.203,158.524,47.082,61.51,14
TP001,6,ABCO,CADE3,1988,MORTALITY,19,0.086,0.351,0.104,0.28,14
TP001,6,ABCO,PILA,1988,INGROWTH,2,0,0,0,0,14
TP001,6,ABCO,PILA,1988,LIVE,61,13.532,245.778,97.328,97.264,14
TP001,6,ABCO,PILA,1988,MORTALITY,6,0.244,2.683,1.062,1.297,14
TP001,6,ABCO,ABMA,1988,INGROWTH,3,0,0,0,0,14
TP001,6,ABCO,ABMA,1988,LIVE,30,6.318,105.636,42.149,53.289,14
TP001,6,ABCO,ABMA,1988,MORTALITY,0,0,0,0,0,14
TP001,6,ABCO,ALL,1988,INGROWTH,21,0.003,0.002,0.001,0.003,14
TP001,6,ABCO,ALL,1988,LIVE,759,77.951,1323.678,527.516,578.509,14
TP001,6,ABCO,ALL,1988,MORTALITY,44,0.849,8.844,3.601,4.682,14
