DBCODE,ENTITY,PLOTID,YEAR_BEGIN,YEAR_END,SPECIES,DELTA_TPH_NHA,DELTA_BA_M2HA,DELTA_VOL_M3HA,DELTA_BIO_MGHA,DELTA_JENKBIO_MGHA,MEAN_ANNUAL_NPP_BIO,MEAN_ANNUAL_NPP_JENKBIO
TP001,7,AB080003,1984,1990,ABAM,0,0.0544,0.6268,0.2614,0.2929,0.0436,0.0488
TP001,9,AB080003,1984,1990,ALL,0,1.84,32.8137,13.4461,13.2435,2.241,13.2435
TP001,7,AB080003,1984,1990,THPL,0,0.5888,3.1199,0.9765,2.2436,0.1628,0.3739
TP001,7,AB080003,1984,1990,TSHE,0,1.1968,29.067,12.2082,10.707,2.0347,1.7845
TP001,7,AB080003,1990,1995,ABAM,0,0.0528,0.6178,0.2576,0.2872,0.0515,0.0574
TP001,9,AB080003,1990,1995,ALL,0,-6.8944,-165.4614,-69.8826,-60.6771,-13.9765,-60.6771
TP001,7,AB080003,1990,1995,CHNO,0,0,0,0,0,0,0
TP001,7,AB080003,1990,1995,THPL,0,0.6352,3.6167,1.132,2.4802,0.2264,0.496
TP001,7,AB080003,1990,1995,TSHE,0,-7.5824,-169.6959,-71.2723,-63.4445,-14.2545,-12.6889
TP001,7,AB080003,1995,2002,ABAM,0,0.1024,1.2316,0.5136,0.5687,0.0734,0.0812
TP001,9,AB080003,1995,2002,ALL,0,-2.8352,-70.9673,-30.5417,-25.4472,6.5958,-15.6825
TP001,7,AB080003,1995,2002,CHNO,0,0,0,0,0,0,0
TP001,7,AB080003,1995,2002,THPL,0,1.0608,6.8384,2.1404,4.3456,0.3058,0.6208
TP001,7,AB080003,1995,2002,TSHE,0,-3.9984,-79.0373,-33.1957,-30.3615,6.2166,5.4274
TP001,7,AB080003,2002,2008,ABAM,0,0.168,2.1495,0.8963,0.9826,0.1494,0.1638
TP001,9,AB080003,2002,2008,ALL,0,-3.3584,-81.5671,-34.8219,-29.6067,1.1726,-23.218
TP001,7,AB080003,2002,2008,CHNO,0,0,0,0,0,0,0
TP001,7,AB080003,2002,2008,THPL,0,0.832,5.2076,1.63,3.3584,0.2717,0.5597
TP001,7,AB080003,2002,2008,TSHE,0,-4.3584,-88.9242,-37.3482,-33.9476,0.7516,0.7307
TP001,9,AB080004,1978,1984,ALL,0,1.1024,24.7004,10.5194,9.8982,1.7532,9.8982
TP001,7,AB080004,1978,1984,PSME,0,0.216,5.0069,2.2481,2.501,0.3747,0.4168
TP001,7,AB080004,1978,1984,TSHE,0,0.8864,19.6936,8.2713,7.3971,1.3786,1.2329
TP001,9,AB080004,1984,1990,ALL,0,1.1152,24.744,10.4326,9.4752,1.7388,9.4752
TP001,7,AB080004,1984,1990,PSME,0,0.0592,1.3829,0.6209,0.6909,0.1035,0.1152
TP001,7,AB080004,1984,1990,TSHE,0,1.056,23.361,9.8116,8.7843,1.6353,1.464
TP001,9,AB080004,1990,1995,ALL,0,-17.3056,-337.8165,-146.2558,-146.4243,-29.2512,-146.4243
TP001,7,AB080004,1990,1995,PSME,0,-7.8624,-150.7903,-67.7048,-74.7591,-13.541,-14.9518
TP001,7,AB080004,1990,1995,TSHE,0,-9.4432,-187.0262,-78.551,-71.6653,-15.7102,-14.3331
TP001,9,AB080004,1995,2002,ALL,0,1.3888,28.2739,11.7096,11.1645,23.5168,32.967
TP001,7,AB080004,1995,2002,PSME,0,0,0,0,0,0,0
TP001,7,AB080004,1995,2002,THPL,0,0.3808,1.5458,0.4838,1.3292,0.0691,0.1899
TP001,7,AB080004,1995,2002,TSHE,0,1.008,26.7281,11.2258,9.8353,13.7755,12.5277
TP001,9,AB080004,2002,2008,ALL,0,0.8736,18.246,7.621,6.9778,1.4423,7.1642
TP001,7,AB080004,2002,2008,THPL,0,0.0688,0.3951,0.1237,0.273,0.0206,0.0455
TP001,7,AB080004,2002,2008,TSHE,0,0.8048,17.8509,7.4974,6.7048,1.4217,1.3038
