DBCODE,ENTITY,TREEID,COMPONENT,YEAR_AGG,YEAR_RAW,BA_M2,VOL_M3,BIO_MG,JENKBIO_MG,SPECIES,TAG,TREE_STATUS,DBH,CHECK_NOTES
TP001,11,HR01001500014,VSW,2000,2000,0.0025,0.0197,0.0072709,0.006963683,PISI,5288,2,5.6,From 7704;  2.5 m at 350 deg
TP001,11,HR01001500014,VSW,2007,2007,0.0069,0.0658,0.024330322,0.023305915,PISI,5288,1,9.4,MAPS IN PLOT 15; CHKLOC; change plot from 10 to 15 in db
TP001,11,HR01001500015,VSW,2000,2000,0.0045,0.0245,0.010297209,0.01211261,TSHE,5289,2,7.6,From 7704;  4.5 m at 4 deg
TP001,11,HR01001500015,VSW,2007,2007,0.0117,0.0839,0.035230082,0.039199468,TSHE,5289,1,12.2,MAPS IN PLOT 15; CHKLOC; change plot from 10 to 15 in db
TP001,11,HR01001500016,VSW,2000,2000,0.0068,0.0414,0.017400568,0.019988512,TSHE,5290,2,9.3,From 7704;  5.5 m at 1 deg
TP001,11,HR01001500016,VSW,2007,2007,0.026,0.2372,0.099625984,0.105761604,TSHE,5290,1,18.2,MAPS IN PLOT 15; CHKLOC; change plot from 10 to 15 in db
TP001,11,HR01001500017,VSW,2007,2007,0.0044,0.0388,0.014369993,0.013764025,PISI,2470,2,7.5,
TP001,11,HR01001500018,VSW,2007,2007,0.2725,5.0197,2.108267599,1.949624526,TSHE,2503,2,58.9,re-establish as 374; delete 2503 from db
TP001,11,HR01001500019,VSW,2007,2007,0.0024,0.0188,0.006971713,0.006677101,PISI,2706,2,5.5,
TP001,11,HR01001500020,VSW,2007,2007,0.004,0.0342,0.012645854,0.012112392,PISI,2757,2,7.1,
TP001,11,HR01001500021,VSW,2007,2007,0.0045,0.0401,0.014820778,0.014195857,PISI,2762,2,7.6,
TP001,11,HR01001500022,VSW,2007,2007,0.0037,0.0191,0.00801047,0.00953031,TSHE,2763,2,6.9,
TP001,11,HR01001600001,VSW,1978,1978,0.2597,4.7155,1.980495483,1.836651158,TSHE,375,1,57.5,
TP001,11,HR01001600001,VSW,1984,1984,0.2753,5.0864,2.136288872,1.974358302,TSHE,375,1,59.2,
TP001,11,HR01001600001,VSW,1989,1989,0.2951,5.5687,2.338859437,2.152738652,TSHE,375,1,61.3,
TP001,11,HR01001600001,VSW,1995,1995,0.3058,5.8322,2.449504969,2.249872607,TSHE,375,1,62.4,base starting to rot
TP001,11,HR01001600001,VSW,2000,2000,0.339,6.668,2.800552597,2.556781382,TSHE,375,1,65.7,
TP001,11,HR01001600001,VSW,2007,2007,0.3915,8.0386,3.37622695,3.056404795,TSHE,375,1,70.6,
