DBCODE,ENTITY,STANDID,PLOTID,SPECIES,YEAR,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA
TP001,8,CH14,CH140001,ALL,1957,MORTALITY,15,0.875,11.561,5.169,5.627
TP001,8,CH14,CH140001,ALRU,1957,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,ALRU,1957,LIVE,5,0.499,5.666,2.096,2.816
TP001,8,CH14,CH140001,ALRU,1957,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1957,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1957,LIVE,23,1.16,17.152,6.346,6.082
TP001,8,CH14,CH140001,PISI,1957,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1957,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1957,LIVE,220,73.727,1338.124,600.817,661.935
TP001,8,CH14,CH140001,PSME,1957,MORTALITY,8,0.778,10.805,4.852,5.281
TP001,8,CH14,CH140001,TSHE,1957,INGROWTH,3,0.008,0.039,0.016,0.02
TP001,8,CH14,CH140001,TSHE,1957,LIVE,208,18.609,321.116,134.869,125.589
TP001,8,CH14,CH140001,TSHE,1957,MORTALITY,8,0.096,0.755,0.317,0.346
TP001,8,CH14,CH140001,ALL,1978,INGROWTH,5,0.043,0.28,0.118,0.133
TP001,8,CH14,CH140001,ALL,1978,LIVE,361,90.46,1702.716,751.884,799.585
TP001,8,CH14,CH140001,ALL,1978,MORTALITY,104,16.849,281.3,124.242,132.839
TP001,8,CH14,CH140001,ALRU,1978,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,ALRU,1978,LIVE,0,0,0,0,0
TP001,8,CH14,CH140001,ALRU,1978,MORTALITY,5,0.499,5.666,2.096,2.816
TP001,8,CH14,CH140001,PISI,1978,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1978,LIVE,10,1.102,17.335,6.414,6.147
TP001,8,CH14,CH140001,PISI,1978,MORTALITY,13,0.183,2.02,0.747,0.716
TP001,8,CH14,CH140001,PSME,1978,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1978,LIVE,159,67.924,1296.878,582.298,642.966
TP001,8,CH14,CH140001,PSME,1978,MORTALITY,62,13.553,223.447,100.328,110.06
TP001,8,CH14,CH140001,TSHE,1978,INGROWTH,5,0.043,0.28,0.118,0.133
TP001,8,CH14,CH140001,TSHE,1978,LIVE,193,21.434,388.504,163.172,150.472
TP001,8,CH14,CH140001,TSHE,1978,MORTALITY,25,2.614,50.168,21.071,19.248
TP001,8,CH14,CH140001,ALL,1983,INGROWTH,8,0.036,0.207,0.087,0.101
TP001,8,CH14,CH140001,ALL,1983,LIVE,356,90.982,1727.99,762.538,809.371
TP001,8,CH14,CH140001,ALL,1983,MORTALITY,13,1.605,24.399,10.904,11.899
TP001,8,CH14,CH140001,PISI,1983,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1983,LIVE,10,1.146,18.143,6.713,6.433
TP001,8,CH14,CH140001,PISI,1983,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1983,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1983,LIVE,151,67.553,1299.636,583.537,644.544
TP001,8,CH14,CH140001,PSME,1983,MORTALITY,8,1.431,22.645,10.168,11.133
TP001,8,CH14,CH140001,TSHE,1983,INGROWTH,8,0.036,0.207,0.087,0.101
TP001,8,CH14,CH140001,TSHE,1983,LIVE,196,22.283,410.211,172.288,158.394
TP001,8,CH14,CH140001,TSHE,1983,MORTALITY,5,0.174,1.754,0.737,0.767
TP001,8,CH14,CH140001,ALL,1989,INGROWTH,5,0.015,0.075,0.031,0.038
TP001,8,CH14,CH140001,ALL,1989,LIVE,322,84.828,1630.822,718.832,760.972
TP001,8,CH14,CH140001,ALL,1989,MORTALITY,40,8.494,149.849,66.395,70.762
TP001,8,CH14,CH140001,PISI,1989,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1989,LIVE,10,1.197,19.07,7.056,6.762
TP001,8,CH14,CH140001,PISI,1989,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1989,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1989,LIVE,129,61.625,1201.392,539.425,596.164
TP001,8,CH14,CH140001,PSME,1989,MORTALITY,23,6.793,119.245,53.541,58.894
TP001,8,CH14,CH140001,TSHE,1989,INGROWTH,5,0.015,0.075,0.031,0.038
TP001,8,CH14,CH140001,TSHE,1989,LIVE,183,22.005,410.36,172.351,158.046
TP001,8,CH14,CH140001,TSHE,1989,MORTALITY,18,1.701,30.604,12.853,11.868
TP001,8,CH14,CH140001,ALL,1994,INGROWTH,8,0.026,0.13,0.054,0.065
TP001,8,CH14,CH140001,ALL,1994,LIVE,322,87.08,1686.607,743.282,786.2
TP001,8,CH14,CH140001,ALL,1994,MORTALITY,8,0.708,12.734,5.348,4.959
TP001,8,CH14,CH140001,PISI,1994,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1994,LIVE,10,1.245,19.926,7.373,7.066
TP001,8,CH14,CH140001,PISI,1994,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1994,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1994,LIVE,129,63.154,1238.063,555.89,614.514
TP001,8,CH14,CH140001,PSME,1994,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,TSHE,1994,INGROWTH,8,0.026,0.13,0.054,0.065
TP001,8,CH14,CH140001,TSHE,1994,LIVE,183,22.681,428.617,180.019,164.62
TP001,8,CH14,CH140001,TSHE,1994,MORTALITY,8,0.708,12.734,5.348,4.959
TP001,8,CH14,CH140001,ALL,1999,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,ALL,1999,LIVE,312,88.492,1728.433,761.533,804.861
TP001,8,CH14,CH140001,ALL,1999,MORTALITY,10,1.583,28.981,12.526,12.468
TP001,8,CH14,CH140001,PISI,1999,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1999,LIVE,10,1.303,21.009,7.773,7.45
TP001,8,CH14,CH140001,PISI,1999,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1999,INGROWTH,0,0,0,0,0
