PSP_STUDYID,STANDID,LOC_NAME,STATE,GEO_LOC,VEG_TYPE,APPROX_AGEDOM,SERAL,PLOT_EST,LASTREM,AREA_HA,ELEV_M,LATITUDE,LONGITUDE
HSGY,HR01,SOUTHFORKHOHRIVER,WA,WA_OlyPen,PISI,307,Old-growth,1978,2012,1,215,47.779,123.908
HSGY,HR02,SOUTHFORKHOHRIVER,WA,WA_OlyPen,PISI,307,Old-growth,1978,2012,1,215,47.779,123.908
